Scaffold,Len_nt,Code4_CD,Code11_CD,Code15_CD,Len_kb,pred_code
IMGVR_UViG_GVMAG-S-1101182-111_000001|3300027763|Ga0209088_10000107,60657,0.9065235669419852,0.8935654582323557,0.8909936198625056,60.657,11
SRS019496_a1_ct9432@circular@Podoviridae__sp__ct5Au432,180911,0.5936454941932774,0.5927997744747417,0.9411533848135271,180.911,15
UGV-GENOME-0378437,180140,0.589374930609526,0.5828133673809259,0.9270456311757522,180.14,15
UGV-GENOME-0374697_1,129612,0.9141283214517174,0.906050365706879,0.8499444495880011,129.612,11
IMGVR_UViG_3300002641_000180|3300002641|loc_101668224,48702,0.9129604533694715,0.9027350006159911,0.8989158556116792,48.702,11
SAMEA1906441_a1_ct18033_vs1@Siphoviridae__sp__ctNhB1,49796,0.8410916539481083,0.8385613302273275,0.7842196160334164,49.796,11
UGV-GENOME-0379139,190363,0.7000782715128465,0.6890309566459869,0.856616044084197,190.363,15
UGV-GENOME-0379164,190907,0.7188893021209279,0.7079834683903681,0.8668880659169125,190.907,15
DTR_445653,176404,0.5778780526518673,0.56818439491168,0.9219688895943403,176.404,15
uvig_178164,124630,0.8881810158067881,0.8632191286207174,0.8367407526277783,124.63,11
UGV-GENOME-0377609,168870,0.5731213359388879,0.5687866406111209,0.9308935867827323,168.87,15
MGV-GENOME-0373420,129434,0.9020813696555774,0.8871316655592811,0.8592255512461949,129.434,11
IMGVR_UViG_3300021426_000387|3300021426|Ga0224482_10004299,16957,0.5953293625051601,0.6264669458040927,0.61408267971929,16.957,11
uvig_67113,170724,0.94215224572995,0.8661699585295565,0.8424298868348914,170.724,4
IMGVR_UViG_3300031992_000032|3300031992|Ga0310694_10000099,127072,0.8940600604381768,0.7267454671367414,0.687200956937799,127.072,4
MGV-GENOME-0366648,100206,0.9245254775163164,0.9195257768995868,0.9203341117298366,100.206,11
uvig_403737,131078,0.9237476922137964,0.9036070126184409,0.8566197226079129,131.078,11
MGV-GENOME-0363943,93598,0.8792175046475352,0.8879997435842646,0.8665249257462766,93.598,11
IMGVR_UViG_3300009603_000070|3300009603|Ga0114911_1000597,22479,0.8538636060322968,0.8263712798612038,0.8203656746296544,22.479,11
MGV-GENOME-0366323,99739,0.920312014357473,0.9161010236717834,0.9189284031321749,99.739,11
UGV-GENOME-0373156_1,125019,0.9015909581743575,0.8872411393468193,0.8586374871019605,125.019,11
MGV-GENOME-0376776,158378,0.6582353609718522,0.657098839485282,0.9435211961257245,158.378,15
uvig_15624,191749,0.6236121179249957,0.6227359725474448,0.9401352810184147,191.749,15
uvig_156241,30095,0.9620534972586808,0.9434125269978402,0.9108157501246054,30.095,11
uvig_156248,85905,0.8936965252313602,0.9066876200453989,0.8839881264187184,85.905,11
MGV-GENOME-0369035,105202,0.9207429516549115,0.9120168818083306,0.8688142810973175,105.202,11
